Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
M,298.7,309.5,1340,47.2,44,0
L,300.6,311.1,1410,48.8,208,0
M,299.0,310.0,1420,40.3,190,0
L,298.8,309.6,1542,32.9,201,0
L,297.7,309.7,1461,48.3,98,0
L,296.5,307.8,1476,45.0,198,0
M,300.9,310.4,1709,25.3,180,0
M,298.2,309.0,1584,32.6,117,0
L,301.8,309.6,1619,31.1,133,0
L,296.8,307.9,1437,45.4,61,0
L,300.0,310.6,1615,31.8,3,0
L,297.9,308.2,1647,29.1,181,0
M,300.2,309.8,1432,50.6,193,0
H,298.6,310.0,1447,42.0,155,0
M,302.2,310.1,1777,30.2,51,0
L,298.0,306.9,1336,44.6,153,0
L,299.5,310.3,1654,32.4,161,0
L,298.6,309.4,1543,39.7,86,0
L,297.2,308.0,1495,39.2,238,1
L,301.8,310.2,1387,49.0,183,0
L,301.2,310.9,1762,30.2,170,0
M,298.0,308.1,1417,63.4,17,1
H,296.3,307.6,1402,52.6,91,0
M,300.8,309.9,1410,43.9,26,0
M,302.0,310.7,1555,35.3,121,0
L,301.4,310.8,1625,32.6,131,0
M,300.7,310.1,1470,41.2,128,0
M,302.6,311.7,1525,35.6,117,0
M,301.6,311.9,1461,37.6,200,0
M,302.6,311.0,1643,38.2,171,0
M,300.6,311.6,1390,52.0,217,0
M,300.5,310.5,1275,63.9,4,0
L,303.3,311.6,1582,39.8,113,0
M,299.2,309.6,1688,33.6,173,0
L,295.4,306.3,1883,21.2,69,0
L,298.5,309.8,1413,43.1,119,0
M,295.2,306.1,1838,23.3,166,0
L,300.4,310.1,1402,39.1,81,0
L,301.0,311.2,1489,40.1,98,0
L,303.7,311.4,1684,31.5,169,0
L,299.6,309.0,1593,32.1,175,0
L,303.6,312.8,1452,47.2,159,0
L,299.1,309.9,1860,23.1,220,1
L,302.7,311.8,1482,40.5,230,0
L,302.8,312.1,1416,51.3,53,0
H,300.3,311.2,1448,43.2,90,0
M,300.4,309.3,1350,44.9,137,0
L,300.5,310.9,1709,30.8,73,0
L,299.8,309.0,1502,40.7,175,0
L,298.5,309.1,1375,44.7,196,0
M,303.4,311.8,1800,24.9,108,0
M,297.8,308.7,1413,49.8,32,0
L,302.3,311.2,1513,32.9,131,0
L,300.3,310.3,1527,47.5,14,0
L,297.0,307.6,1469,49.0,34,0
L,298.0,309.0,1415,53.5,142,0
L,299.1,308.7,2269,16.7,210,0
L,298.6,308.5,1626,34.0,36,0
H,298.9,310.2,1252,62.7,162,0
L,303.4,312.8,1443,43.0,55,0
M,302.4,310.9,1446,41.6,116,0
L,297.7,309.0,1378,47.4,6,0
L,298.6,310.0,1757,28.4,117,0
M,302.9,310.6,1511,34.7,76,0
L,301.1,310.8,1563,37.0,228,0
L,295.9,307.5,1491,43.0,162,0
M,299.0,309.2,1281,57.9,201,0
L,298.8,309.2,1607,31.7,150,0
M,301.7,310.9,1515,37.3,193,0
L,298.5,308.8,1543,35.8,196,0
L,295.6,306.6,1762,25.5,99,0
L,298.4,308.7,1565,29.1,159,0
L,301.3,311.2,1469,40.9,141,0
L,302.4,310.4,1572,31.8,94,0
L,302.5,311.2,1846,23.3,69,0
L,304.3,313.4,1464,39.1,179,0
L,302.3,311.1,1533,36.9,209,0
M,298.9,308.5,1856,20.9,83,0
L,301.0,309.3,1558,34.6,101,0
L,299.9,309.1,1711,24.2,34,0
L,302.2,310.4,1748,30.3,157,0
H,304.4,313.2,1577,35.0,137,0
L,300.0,309.3,1523,30.1,15,0
L,300.0,309.1,1477,41.8,169,0
L,301.3,311.0,1512,39.5,5,0
L,300.4,309.4,1624,27.2,44,0
M,301.7,310.5,1489,39.1,16,0
H,298.0,309.0,1602,37.5,56,0
L,301.6,310.2,1506,38.7,194,0
M,301.1,311.0,1403,53.8,10,0
L,302.5,311.3,1585,37.6,62,0
H,300.4,311.8,1410,43.9,88,0
L,300.8,309.1,1529,50.6,3,0
L,298.6,307.7,1562,32.5,169,0
M,297.1,308.8,1451,50.3,48,0
L,301.2,310.8,1856,29.3,200,0
L,301.0,311.2,1493,35.7,189,0
L,301.6,310.6,1892,23.0,120,0
L,300.3,311.3,1395,55.2,110,0
L,296.4,307.8,1551,38.2,97,0
H,304.5,313.2,1639,36.7,30,0
L,300.3,311.9,2004,18.0,13,0
L,304.3,312.5,1569,42.4,194,0
L,302.5,312.8,1457,47.7,64,0
M,302.3,311.3,1637,33.1,135,0
L,297.6,308.4,1459,42.2,117,0
H,298.2,309.3,1380,49.1,117,0
L,295.7,306.4,1593,31.7,134,0
L,302.3,311.4,1795,22.8,79,0
M,299.6,309.0,1751,26.3,170,0
L,301.7,310.7,1890,21.7,8,0
L,302.2,310.9,1396,49.8,25,0
M,301.5,310.2,1460,44.7,46,0
L,300.0,309.2,1544,38.1,50,0
L,303.8,311.6,1367,45.9,31,1
M,299.1,308.2,1383,48.0,14,0
H,299.0,309.4,1286,56.7,87,0
L,303.4,313.1,1876,24.0,210,0
L,299.0,308.8,1535,35.6,124,0
L,302.1,310.8,1580,38.2,218,0
L,300.8,311.2,1387,49.9,62,0
L,301.3,310.5,1648,32.2,15,0
M,298.4,308.4,1537,48.3,165,0
L,300.5,312.5,1476,38.5,38,0
L,298.8,309.2,1635,31.3,156,0
M,297.9,308.7,1370,56.1,82,0
L,302.1,310.0,1497,59.2,148,1
L,299.5,310.7,1660,31.6,115,0
L,302.8,310.3,1440,44.1,148,0
M,302.5,312.6,1647,33.6,154,0
M,298.6,309.0,1738,28.0,20,0
H,299.2,310.0,1533,44.6,29,0
L,302.8,312.6,1205,54.8,16,0
M,295.7,306.1,1445,43.3,27,0
L,300.7,310.9,1602,29.8,47,0
M,298.0,309.1,1516,36.6,168,0
M,302.6,311.0,1713,28.3,218,0
L,298.2,308.4,1782,25.7,115,0
L,301.0,309.7,1394,37.8,116,0
L,301.1,312.8,1335,52.1,122,0
L,299.8,309.4,1394,44.4,197,0
M,298.8,309.0,1787,26.2,173,0
L,299.8,310.4,1509,43.5,186,0
M,301.0,310.8,1491,47.9,78,0
L,299.8,310.2,1384,45.0,119,0
H,297.3,308.5,1618,38.2,95,0
L,301.6,312.3,1368,59.2,92,0
M,301.3,311.1,1417,52.3,158,0
L,297.8,308.3,1348,45.4,122,0
M,300.7,311.3,1492,39.6,94,0
L,298.5,309.8,1469,32.6,139,0
L,298.2,307.9,1417,47.8,185,0
L,297.0,308.4,1621,34.6,110,0
M,300.4,309.9,1463,35.0,195,0
L,302.9,312.8,1440,44.5,109,0
L,299.8,309.3,1395,51.8,143,0
L,298.6,309.9,1736,29.9,152,0
M,297.5,307.7,1679,33.1,165,0
L,300.4,310.6,1765,26.6,26,0
M,301.3,310.0,2261,15.7,9,0
L,298.7,310.0,1555,37.0,8,0
L,303.2,312.6,1696,30.3,69,0
L,299.1,309.8,1552,38.0,211,0
L,302.8,311.7,1625,39.7,59,0
H,297.5,308.3,1484,35.8,55,0
L,299.2,309.2,1786,24.7,122,0
L,298.6,310.0,1387,47.6,90,0
M,301.6,311.7,1352,50.3,136,0
L,300.8,311.2,1494,36.3,125,0
M,298.7,309.2,1635,33.9,192,0
L,301.8,310.7,1451,47.1,17,0
M,297.7,309.2,1235,60.1,127,0
M,297.3,307.3,1443,52.5,116,0
L,300.8,309.8,1620,33.2,152,0
L,301.0,311.2,1603,41.7,2,0
M,302.4,310.7,1619,35.0,219,0
H,297.5,307.0,1590,37.1,227,0
L,298.2,309.0,1509,32.0,23,0
H,298.2,308.0,1602,31.4,20,0
L,301.9,311.0,1527,41.2,29,0
L,302.0,310.4,1455,43.3,166,0
L,300.6,309.2,1602,34.5,127,0
L,300.5,309.5,1657,32.4,55,0
L,301.2,311.0,1421,50.1,3,0
L,302.1,309.6,1451,59.4,146,1
L,299.3,308.7,1328,65.5,22,1
L,299.4,311.1,1566,38.4,73,0
L,298.5,307.2,1725,28.7,144,0
L,298.0,310.0,1450,44.1,170,0
L,298.4,309.5,1583,37.5,135,0
L,301.7,310.8,1576,43.7,213,1
L,300.2,311.3,1624,37.8,184,0
H,300.0,309.8,1477,42.3,105,0
H,299.0,309.3,1382,46.0,191,0
L,297.3,307.8,1440,50.7,52,0
H,300.5,310.4,1671,35.7,125,0
L,301.2,312.0,1377,57.1,93,0
L,295.8,305.8,1833,27.7,211,0
L,298.0,308.8,1378,46.8,14,0
L,302.6,311.8,1436,50.1,0,0
L,301.2,311.1,1328,46.1,80,0
L,296.8,307.7,1441,42.7,151,0
L,299.1,310.8,1481,42.0,94,0
H,297.3,309.0,1472,38.1,196,0
M,298.6,310.4,1446,40.8,85,0
L,302.3,309.9,1618,39.1,66,0
H,300.7,309.4,1531,36.7,82,0
L,297.7,309.8,1338,70.3,31,1
L,303.1,311.3,1544,32.3,11,0
M,301.3,311.2,1433,44.2,69,0
M,297.9,309.3,1444,41.1,15,0
M,303.7,313.6,1618,42.2,163,0
L,299.1,308.3,1418,36.9,43,0
H,297.9,307.9,1477,50.8,67,0
L,295.7,306.6,1467,35.7,122,0
M,297.8,308.6,1437,42.1,24,0
L,302.9,313.2,1394,58.7,27,0
L,303.1,312.8,1518,38.1,96,0
M,298.3,307.1,1417,44.6,100,0
M,301.2,310.6,1385,52.3,110,0
L,300.4,310.8,1981,21.0,107,0
L,302.9,312.5,1571,41.3,55,0
L,301.8,311.9,1499,44.6,30,0
L,297.8,307.9,1620,38.1,62,0
M,298.0,307.9,1646,30.1,73,0
M,301.4,310.8,1491,39.9,26,0
L,297.3,307.4,1683,34.6,23,0
L,300.8,311.3,1533,35.2,48,0
L,302.4,310.9,1567,34.2,143,0
H,301.7,311.0,1260,64.2,138,0
L,302.8,311.9,1435,43.9,144,0
L,299.1,310.4,1548,38.4,105,0
H,299.8,309.8,2591,12.8,81,1
M,298.1,307.8,1655,33.4,104,0
L,301.2,310.5,1317,46.7,92,0
L,298.2,308.3,1868,20.6,70,0
L,298.3,309.6,1382,51.2,10,0
L,297.7,308.6,1502,35.5,66,0
L,302.7,312.9,1654,33.6,199,0
H,297.0,308.5,1460,40.9,107,0
M,300.9,311.6,1331,52.6,33,0
H,299.7,311.5,1533,37.9,25,0
M,297.6,308.8,1388,54.2,17,0
L,301.8,310.2,1492,47.2,158,0
L,298.4,307.7,1772,29.1,128,0
L,298.3,309.6,1587,34.8,200,0
L,300.1,310.2,1731,31.7,172,0
M,301.4,311.3,1633,38.1,61,0
H,303.8,312.8,1349,54.8,188,0
M,299.9,309.6,1536,36.0,205,0
L,302.0,311.0,1852,22.8,126,0
L,298.5,309.8,1506,42.0,116,0
H,298.1,309.8,1349,51.0,33,0
L,299.4,308.6,1718,26.0,49,0
M,297.0,308.6,1539,36.0,182,0
L,298.7,308.8,1424,54.3,43,0
M,298.6,308.7,1525,36.0,22,0
M,301.3,310.3,1681,33.3,203,0
M,303.6,313.4,1468,43.4,175,0
L,298.0,307.0,1936,19.1,205,0
L,300.6,310.6,1495,37.5,112,0
H,300.7,309.1,1530,34.5,43,0
M,299.8,310.1,1434,44.2,53,0
L,297.9,307.5,1400,50.7,129,0
M,301.0,311.2,1666,33.0,7,0
L,298.1,307.2,1351,56.7,175,0
M,297.6,307.7,1448,44.8,104,0
L,300.5,311.8,1560,41.7,41,0
M,297.4,307.8,1731,28.2,174,0
L,298.4,308.7,1664,33.4,103,0
M,298.1,308.9,2109,18.0,200,0
L,297.5,309.2,1436,48.3,101,0
L,299.6,308.8,1591,37.5,153,0
H,298.9,308.7,1399,54.9,4,0
M,299.1,309.7,1508,43.4,51,0
L,297.7,309.1,1559,42.4,183,0
L,301.4,310.7,1268,57.4,38,0
M,297.0,308.5,1433,45.7,176,0
L,301.2,311.3,1357,63.5,144,1
L,301.9,311.3,1577,42.7,79,0
L,302.0,309.9,1559,35.4,205,0
L,299.9,310.8,1501,46.5,154,0
L,299.1,309.0,1487,47.9,216,0
M,299.9,310.6,1582,33.8,111,0
L,299.0,309.1,1494,42.1,213,0
M,298.2,309.0,1385,47.8,17,0
M,298.6,308.5,1530,39.0,65,0
L,300.9,309.5,1641,28.2,15,0
L,298.7,310.1,1682,33.2,193,0
L,301.8,311.2,1511,41.5,13,0
L,300.7,311.1,1923,20.5,42,0
L,296.7,307.6,1376,52.6,139,0
L,298.1,308.7,1452,54.7,82,0
L,299.2,309.1,1564,38.9,146,0
L,297.0,308.1,1652,29.8,38,0
M,297.8,308.4,1809,24.2,35,0
M,301.0,310.3,1478,42.0,110,0
M,304.0,313.2,1416,51.8,85,0
L,301.7,310.6,1427,44.1,73,0
L,298.6,309.8,1450,39.2,92,0
L,296.9,307.3,1520,35.4,176,0
L,299.9,311.9,1665,32.2,172,0
H,300.3,309.5,1416,41.9,139,0
L,297.5,308.2,1397,41.3,54,0
M,298.2,308.9,1485,40.6,178,0
H,300.5,311.8,1595,30.9,45,0
L,299.1,310.2,1963,23.2,189,0
L,300.4,310.8,1384,54.1,78,0
M,300.4,309.8,1314,49.3,40,0
L,298.1,309.1,1657,28.1,162,0
L,299.1,308.6,1632,33.3,156,0
M,297.4,308.7,1391,47.4,102,0
M,298.9,308.4,1395,51.0,82,0
M,303.6,312.2,1838,26.2,32,0
L,300.9,311.9,1439,42.3,155,0
H,297.2,307.7,1813,23.6,192,0
L,297.1,310.4,1991,21.3,219,0
M,297.6,308.9,1276,38.4,4,0
H,300.6,309.9,1629,30.1,129,0
L,300.5,312.3,1654,30.3,109,0
L,298.7,308.9,1533,40.6,60,0
L,298.2,308.3,1612,35.5,100,0
M,297.4,308.2,1475,43.7,55,0
L,300.2,310.8,1571,36.1,162,0
M,301.0,311.1,1674,30.1,30,0
H,298.1,309.7,1361,57.3,109,0
M,300.3,309.5,1672,33.4,163,0
L,299.5,309.5,1658,30.9,173,0
L,300.5,311.4,1422,43.5,219,0
M,297.8,309.8,1394,46.5,53,0
L,302.5,311.2,1354,52.4,184,0
L,301.7,310.5,1394,40.5,205,0
H,301.4,311.8,1397,51.8,0,0
L,298.5,309.9,1579,38.3,118,0
L,300.6,309.8,1623,34.8,127,0
L,303.1,311.7,1371,56.6,115,1
H,303.2,312.6,1795,24.2,133,0
L,299.2,308.4,1568,32.8,122,0
L,303.4,312.5,1679,25.7,38,0
L,297.0,308.2,1465,46.5,217,1
M,303.2,311.7,1935,18.8,69,0
L,302.7,311.9,1413,46.2,80,0
H,300.6,311.4,1431,43.7,73,0
L,298.4,308.9,1266,53.4,47,0
L,300.0,311.3,1240,61.8,212,1
H,298.1,309.4,1842,26.3,178,0
L,300.9,311.0,1570,37.8,204,0
L,300.0,310.7,1742,30.5,31,0
L,301.4,310.2,1557,36.9,56,0
M,301.7,310.8,1577,35.1,93,0
L,298.5,310.3,1475,38.5,43,0
L,301.3,310.5,1334,49.5,75,0
L,298.6,309.5,1475,41.1,12,0
L,300.5,309.2,1542,47.0,25,0
L,302.2,311.2,1575,33.7,180,0
H,297.9,308.6,1424,43.1,46,0
L,300.5,310.4,1410,43.4,113,0
L,300.2,311.5,1435,41.1,102,0
M,299.2,309.1,1408,49.5,137,0
M,300.5,310.2,1444,41.2,187,0
M,303.3,313.0,2699,9.5,67,1
L,296.6,307.6,1492,37.8,42,0
L,299.7,310.9,1432,52.6,9,0
H,300.7,309.9,2582,13.9,79,0
M,297.2,308.1,1411,47.3,55,0
M,304.0,313.3,1590,35.8,170,0
L,301.4,310.5,1684,29.4,186,0
L,299.5,308.5,1455,40.5,126,0
H,303.7,312.3,1382,54.2,111,0
L,298.7,307.6,1952,22.3,173,0
M,302.1,311.5,1543,34.1,30,0
M,300.8,309.5,1575,35.4,118,0
L,298.7,310.9,1519,40.2,119,0
M,303.8,312.6,1389,47.4,165,0
H,298.3,309.8,1499,36.3,118,0
L,303.5,313.4,1457,47.4,32,0
L,296.4,306.5,1341,43.3,20,0
L,299.7,309.0,1461,42.4,102,0
L,303.9,311.5,1548,34.3,117,0
M,302.1,311.5,1575,33.1,77,0
L,298.0,310.1,1494,38.1,157,0
L,299.0,310.7,1450,47.1,165,0
M,304.5,314.1,1346,46.1,83,0
L,302.5,309.8,1632,32.3,120,0
L,296.4,308.6,1279,56.5,6,0
L,302.0,311.8,1284,48.5,13,0
L,301.5,310.6,1752,29.1,41,0
M,301.3,311.2,1571,35.9,12,0
L,299.6,308.9,1471,40.0,7,0
L,300.5,310.0,1371,51.5,71,0
M,302.5,311.4,1374,48.7,200,0
M,300.2,310.8,1605,35.2,188,0
M,300.7,310.6,1558,35.5,80,0
L,296.5,307.2,1293,60.1,128,0
L,302.8,311.5,2002,19.8,135,0
L,299.4,308.9,2249,17.1,77,0
L,301.6,311.9,1689,30.2,21,0
L,299.2,309.0,1527,38.3,24,0
L,301.3,310.8,1615,30.1,85,0
L,298.1,307.6,1484,31.4,194,0
M,297.3,308.6,1444,39.2,45,0
M,302.5,311.4,1578,34.2,103,0
L,295.5,305.9,1673,33.7,70,0
H,299.1,310.2,1348,57.7,139,0
M,301.0,310.6,1598,49.8,81,0
L,295.7,306.6,1438,46.5,82,0
L,299.0,310.5,1387,55.4,63,0
M,300.2,310.6,2148,18.4,18,0
L,302.0,309.5,1455,42.8,89,0
L,297.1,307.7,1599,30.2,177,0
M,298.6,309.9,1555,36.9,195,0
M,297.0,307.9,1730,25.9,67,0
L,298.7,311.0,1636,29.2,87,0
H,297.8,310.0,1549,34.6,163,0
L,297.7,308.8,1920,24.9,183,0
M,302.9,310.0,1337,54.6,59,1
L,301.1,310.8,1543,38.3,208,0
L,303.8,312.4,2224,17.5,0,0
L,301.5,310.7,1342,53.5,154,0
H,301.0,312.6,1535,34.3,165,0
M,302.1,311.5,1392,54.2,0,0
L,300.3,309.8,2135,17.1,172,0
L,301.2,311.1,1662,30.8,83,0
M,295.5,305.3,1496,36.7,191,0
H,301.0,310.9,1403,43.7,24,0
L,299.6,308.2,1539,43.0,47,0
L,300.1,309.4,1385,45.1,84,0
M,302.9,311.8,2690,9.3,3,1
M,298.2,309.8,1477,47.4,144,0
L,298.9,308.7,1539,40.9,168,0
H,299.6,309.3,1392,44.8,189,0
M,297.3,308.7,1516,42.8,193,0
L,299.0,308.8,1433,39.0,15,0
L,302.8,312.4,1300,50.4,14,0
M,298.4,307.8,1520,48.5,204,0
L,301.8,310.4,1497,39.7,60,0
L,302.2,311.5,1610,37.1,32,0
L,299.5,311.5,1327,55.4,215,1
L,300.9,310.3,1371,53.5,127,0
M,298.3,308.4,1473,43.9,203,1
L,302.1,311.9,1634,31.9,92,0
L,301.4,310.9,1522,38.8,114,0
M,300.2,312.0,1847,22.4,99,0
L,297.5,308.1,1388,56.4,204,1
M,304.2,313.6,1460,42.4,132,0
H,300.3,310.7,1599,28.4,36,0
L,302.6,311.1,1484,37.4,132,0
L,298.7,309.7,1348,43.9,108,0
L,298.0,309.0,1380,52.4,91,0
H,297.9,309.9,1605,30.5,19,0
L,302.3,309.9,2019,18.8,59,0
H,300.6,311.2,1309,57.6,77,0
L,302.2,310.5,1499,39.2,198,0
L,297.5,307.9,1675,35.4,37,0
L,298.7,309.6,1484,43.3,66,0
M,298.5,309.4,1348,47.6,129,0
L,298.4,308.0,1618,36.7,35,0
L,304.2,312.7,1680,36.8,125,0
L,300.0,309.4,1343,51.8,32,0
L,300.5,311.5,1470,38.8,161,0
L,302.0,311.2,1323,47.1,124,0
L,298.1,309.0,1261,60.2,141,0
M,300.7,310.7,1414,55.4,96,0
L,302.5,311.3,1397,52.5,197,0
M,297.9,308.8,1614,33.7,91,0
L,298.0,308.6,1365,61.9,149,0
M,295.9,306.8,1417,47.2,77,0
L,298.8,309.6,2013,20.5,116,0
M,302.8,312.6,1448,43.0,162,0
L,302.0,310.7,1351,47.4,209,0
L,302.7,312.6,1529,40.0,237,1
L,299.8,309.1,2263,13.2,78,1
M,297.2,308.7,1508,28.6,164,0
M,298.8,308.7,1513,41.4,30,0
M,302.4,310.5,1392,41.8,42,0
L,300.6,310.8,1587,52.1,181,0
L,301.8,312.3,1321,49.2,17,0
M,303.4,312.1,1711,31.7,108,0
M,299.4,309.5,1470,40.6,213,0
L,301.2,310.1,1433,46.9,81,0
M,297.2,307.6,1693,30.8,76,0
M,303.2,312.0,1429,51.1,59,0
H,300.2,309.4,1595,31.2,144,0
L,303.7,312.3,1916,21.1,190,0
M,301.6,310.4,1583,32.4,201,0
M,300.4,309.4,1743,34.3,217,1
H,297.3,307.9,1301,59.4,22,0
M,298.3,310.3,1670,34.7,48,0
L,300.0,308.9,1638,30.7,204,0
M,298.2,308.6,1377,42.5,66,0
L,297.8,308.2,1415,46.4,33,0
L,301.8,311.6,1281,69.5,2,1
M,297.7,309.2,1508,42.9,3,0
L,301.3,310.2,1435,37.3,195,0
H,298.9,310.4,1910,25.9,102,0
L,296.9,307.5,1908,23.8,112,0
M,302.3,310.5,1513,39.2,3,0
L,301.8,310.1,1498,42.4,198,0
L,299.0,309.9,1307,57.5,121,0
M,299.7,311.5,1492,39.8,128,0
M,302.4,311.8,1338,48.6,96,0
M,302.3,311.4,1407,51.9,176,0
L,297.0,308.4,1367,51.5,213,0
M,298.2,308.5,1468,40.6,134,0
M,303.7,313.1,1438,47.8,203,0
L,303.5,312.7,1437,47.3,13,0
H,297.6,309.0,1812,23.8,25,0
L,301.2,310.6,1698,28.0,102,0
L,299.8,309.8,1481,43.3,58,0
M,297.8,308.9,1451,52.7,169,0
M,303.1,310.8,1430,38.6,174,0
L,298.9,310.5,1388,45.9,37,0
L,301.0,311.4,1828,26.5,193,0
H,300.4,311.7,1444,49.3,59,0
M,299.4,309.0,1811,25.0,15,0
M,297.2,309.8,1308,53.3,8,0
H,296.5,306.8,1618,34.3,36,0
M,301.4,310.3,1291,59.5,161,0
L,301.7,309.6,1358,48.1,182,1
L,297.4,309.1,1490,42.6,144,0
L,302.6,312.0,1365,50.2,52,0
H,299.1,308.3,1490,40.6,61,0
L,299.2,309.1,1462,40.6,138,0
L,298.9,308.8,2275,18.4,203,0
H,300.5,309.3,1699,28.6,133,0
L,301.6,311.4,1403,45.8,109,0
L,302.3,311.2,1434,44.2,6,0
L,302.5,312.0,1750,25.4,16,0
L,300.5,311.9,1562,37.4,157,0
M,300.8,309.9,1515,37.6,145,0
H,296.8,308.8,2409,14.9,169,0
M,302.3,310.7,1539,45.4,196,0
L,302.6,311.9,1490,45.6,139,0
L,298.9,310.5,1360,47.2,39,0
M,300.0,311.4,1500,33.4,136,0
M,297.9,309.0,1460,37.4,82,0
M,302.2,311.0,1529,41.8,22,0
M,301.2,311.3,1767,25.3,6,0
M,301.1,310.5,2247,18.2,80,0
M,302.3,311.4,1657,36.9,173,0
H,300.6,309.5,1385,46.6,243,0
L,298.5,308.7,1529,41.8,113,0
M,297.1,309.4,1595,34.9,125,0
L,299.8,310.5,1398,51.0,107,0
M,297.7,308.7,1714,25.1,173,0
M,298.8,307.7,1390,49.8,42,0
M,295.4,306.5,1795,25.1,161,0
M,297.0,308.6,1390,46.2,134,0
L,301.7,311.5,1525,39.0,35,0
L,301.8,309.8,1328,48.6,148,1
M,297.4,308.1,1614,36.2,28,0
L,301.0,309.3,2486,13.6,114,0
L,298.7,310.3,1506,40.0,117,0
L,297.5,308.2,1446,48.4,107,0
M,301.0,310.6,1480,44.4,99,0
M,300.2,309.3,1652,31.4,29,0
L,301.5,310.3,1340,48.1,178,0
L,297.4,309.2,1583,35.2,50,0
L,300.2,309.9,1461,41.8,27,0
L,300.5,311.7,1502,50.7,176,0
M,303.1,312.8,1581,32.5,130,0
L,301.4,311.2,1465,39.0,41,0
M,303.5,312.7,1617,32.2,79,0
H,299.4,309.1,1499,41.2,123,0
L,303.8,312.5,1379,43.6,171,0
L,298.3,308.1,1384,50.6,70,0
L,301.2,310.9,1571,44.5,123,0
H,296.2,307.0,1424,41.4,199,0
L,297.6,308.1,1632,28.2,174,0
L,302.3,311.0,1821,21.0,49,0
M,303.5,311.6,1433,43.6,101,0
H,303.8,313.5,1372,50.6,35,0
M,300.3,311.9,1310,55.7,170,0
L,300.5,312.0,1358,49.6,121,0
L,297.7,309.2,1462,44.5,50,0
M,300.1,309.7,1480,43.8,190,0
H,303.7,312.3,1714,28.5,167,0
M,302.0,310.7,1372,49.3,165,0
M,302.9,312.1,1385,49.6,102,0
L,297.4,307.8,1474,45.1,85,0
L,299.4,308.4,1407,49.9,83,0
M,301.5,310.5,1587,30.5,138,0
L,301.5,310.6,1447,44.9,220,1
L,298.4,308.0,1664,42.0,1,0
L,301.8,309.5,1520,39.0,4,0
M,298.0,309.1,1231,58.4,130,0
M,301.6,310.6,1448,44.9,18,0
L,303.6,311.8,1480,47.6,236,1
H,299.3,308.9,1616,32.1,74,0
L,299.2,309.9,1527,39.2,50,0
M,299.7,310.4,1432,49.9,0,0
L,300.4,311.5,1369,48.6,66,0
L,301.0,310.4,1555,37.4,29,0
M,302.2,310.6,1555,35.0,112,0
L,299.1,309.8,1573,43.9,78,0
L,300.4,310.7,1561,33.6,67,0
M,303.4,311.6,1332,44.1,189,1
M,302.5,310.4,1514,32.8,207,0
L,301.1,309.8,1602,34.0,151,0
L,301.9,310.4,1939,19.7,106,0
L,298.0,309.2,1244,49.9,46,0
M,299.2,309.2,1632,28.6,163,0
L,297.9,309.7,1614,39.0,42,0
M,298.9,308.9,1585,36.1,141,0
L,299.1,310.3,1439,47.9,19,0
L,297.3,308.2,1721,30.3,47,0
L,298.4,308.8,1335,56.3,26,0
M,300.1,309.0,1334,49.6,214,0
L,298.2,308.6,1376,44.7,62,0
M,302.4,311.3,1546,36.4,28,0
L,298.6,309.4,1486,44.9,62,0
L,297.0,308.3,1460,55.2,81,0
L,301.5,311.1,1458,41.5,179,0
L,297.8,307.6,1445,58.8,97,0
L,303.4,313.0,1298,71.2,95,1
L,303.4,311.6,1517,47.2,181,0
M,295.8,307.9,1518,52.1,101,0
M,300.3,310.5,1666,27.6,75,0
L,301.9,310.9,1424,49.7,3,0
L,298.2,308.9,1578,32.8,67,0
L,300.0,309.7,1443,36.8,16,0
L,298.6,308.4,1547,30.0,159,0
H,298.4,308.3,1652,30.8,2,0
H,298.7,310.2,1425,46.3,104,0
L,299.3,308.2,1491,44.0,158,0
L,303.6,312.6,1900,24.0,193,0
L,301.0,311.8,1518,42.9,134,0
L,299.3,310.2,1364,51.9,0,0
L,301.0,311.0,1416,42.9,17,0
H,298.6,309.2,1578,32.3,143,0
L,297.0,307.3,1395,47.9,3,0
L,302.4,310.4,1472,44.0,101,0
M,302.5,312.3,1463,49.0,215,0
M,298.5,308.8,1581,36.9,22,0
L,299.3,309.6,1474,32.1,150,0
L,298.4,309.4,1648,29.8,57,0
L,297.4,307.5,1421,36.3,225,0
H,297.4,309.3,1380,45.7,129,0
L,300.7,310.8,1675,34.2,69,0
L,299.7,311.5,1514,40.4,42,0
L,299.0,309.8,1418,44.8,47,0
M,304.0,313.5,1454,43.6,94,0
L,298.6,308.1,1626,33.1,0,0
M,299.4,309.6,1486,37.4,72,0
L,297.6,308.7,1354,44.5,140,0
M,304.4,313.4,2127,18.6,140,0
L,299.6,308.5,1500,39.9,151,0
L,299.6,311.6,1566,40.9,29,0
M,299.1,310.0,1623,30.9,41,0
M,299.7,311.1,1493,39.1,176,0
L,303.3,312.5,1762,28.9,127,0
H,299.3,309.9,1835,27.1,79,0
L,299.8,310.6,1400,39.6,120,0
M,303.8,313.6,1734,29.1,175,0
H,298.7,309.0,1373,43.2,108,0
H,297.2,307.9,1369,47.7,206,0
H,297.3,309.2,1709,30.1,61,0
H,297.4,309.3,1552,43.0,84,0
L,297.1,308.3,1589,32.4,64,0
L,298.7,308.6,1375,47.8,77,0
L,302.6,311.5,1497,35.6,132,0
H,303.9,312.5,1744,28.5,169,0
M,300.0,310.8,1500,38.6,175,0
L,301.6,310.8,1700,31.8,75,0
